id	name	net	age	home	industry
1	Bill Gates	76	60	Medina, WA	Microsoft
2 	Warren Buffett	62	85	Omaha  NE	Berkshire Hathaway
3 	Larry Ellison	47.5	71	Woodside  CA	Oracle
4 	Jeff Bezos	47	51	Seattle  WA	Amazon.com
5 	Charles Koch	41	80	Wichita  KS	diversified
5 	David Koch	41	75	New York  NY	diversified
7 	Mark Zuckerberg	40.3	31	Palo Alto  CA	Facebook
8 	Michael Bloomberg	38.6	73	New York  NY	Bloomberg LP
9 	Jim Walton	33.7	67	Bentonville  AR	Wal-Mart
10 	Larry Page	33.3	42	Palo Alto  CA	Google
11 	Sergey Brin	32.6	42	Los Altos  CA	Google
12 	Alice Walton	32	66	Fort Worth  TX	Wal-Mart
13 	S. Robson Walton	31.7	71	Bentonville  AR	Wal-Mart
14 	Christy Walton	30.2	66	Jackson  WY	Wal-Mart
15 	Sheldon Adelson	26	82	Las Vegas  NV	casinos
16 	George Soros	24.5	85	Katonah  NY	hedgefund
17 	Phil Knight	24.4	77	Hillsboro  OR	Nike
18 	Forrest Mars  Jr.	23.4	84	Big Horn  WY	candy
18 	Jacqueline Mars	23.4	76	The Plains  VA	candy
18 	John Mars	23.4	79	Jackson  WY	candy
21 	Steve Ballmer	21.6	59	Hunts Point  WA	Microsoft
22 	Carl Icahn	20.5	79	New York  NY	investments
23 	Michael Dell	19.1	50	Austin  TX	Dell
23 	Laurene Powell Jobs	19.1	52	Palo Alto  CA	Apple  Disney
25 	Anne Cox Chambers	18	96	Atlanta  GA	media
26 	Paul Allen	17.8	62	Mercer Island  WA	Microsoft  investments
27 	Len Blavatnik	17.7	58	London	diversified
28 	Charles Ergen	16.4	62	Denver  CO	satellite TV
29 	Ray Dalio	15.3	66	Greenwich  CT	hedgefund
30 	Donald Bren	15.2	83	Newport Beach  CA	real estate
31 	Abigail Johnson	14.2	54	Milton  MA	money management
32 	James Simons	14	77	East Setauket  NY	hedgefund
33 	Thomas Peterffy	13.5	71	Palm Beach  FL	discount brokerage
34 	Elon Musk	13.3	44	Los Angeles  CA	Tesla Motors
35 	Patrick Soon-Shiong	12.9	63	Los Angeles  CA	pharmaceuticals
36 	Ronald Perelman	12.5	72	New York  NY	leveraged buyouts
37 	Steve Cohen	12	59	Greenwich  CT	hedgefund
38 	Rupert Murdoch	11.6	84	New York  NY	media
38 	Stephen Schwarzman	11.6	68	New York  NY	investments
38 	David Tepper	11.6	58	Livingston  NJ	hedgefund
41 	John Paulson	11.4	59	New York  NY	hedgefund
42 	Andrew Beal	11	63	Dallas  TX	banks  real estate
43 	Philip Anschutz	10.9	75	Denver  CO	investments
44 	Charles Butt	10.7	77	San Antonio  TX	supermarkets
45 	Donald Newhouse	10.6	85	Somerset County  NJ	media
46 	Samuel Newhouse  Jr.	10.3	87	New York  NY	media
47 	Jack Taylor	10.1	93	St. Louis  MO	Enterprise Rent-A-Car
48 	Eric Schmidt	9.9	60	Atherton  CA	Google
49 	John Menard  Jr.	9.2	75	Eau Claire  WI	retail
50 	Jim Kennedy	9	68	Atlanta  GA	media
50 	Blair Parry-Okeden	9	64	Scone	media
52 	Richard Kinder	8.9	71	Houston  TX	pipelines
